Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;N3712Z) AppleWebKit/537.36 (KHTML, like Gecko)99.0.15046.148 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;
 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;M1854E) AppleWebKit/537.36 (KHTML, like Gecko)89.0.6102.56 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;Y1421P) AppleWebKit/537.36 (KHTML, like Gecko)89.0.60379.53 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;P7831M) AppleWebKit/537.36 (KHTML, like Gecko)93.0.13216.45 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;E5087U) AppleWebKit/537.36 (KHTML, like Gecko)85.0.26291.67 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;B4159F) AppleWebKit/537.36 (KHTML, like Gecko)93.0.55819.79 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;E8608F) AppleWebKit/537.36 (KHTML, like Gecko)89.0.17056.43 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;N1581C) AppleWebKit/537.36 (KHTML, like Gecko)91.0.42456.71 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;O7382G) AppleWebKit/537.36 (KHTML, like Gecko)102.0.31685.83 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;O4586S) AppleWebKit/537.36 (KHTML, like Gecko)96.0.25703.57 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;V1062R) AppleWebKit/537.36 (KHTML, like Gecko)81.0.6490.147 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;G3833P) AppleWebKit/537.36 (KHTML, like Gecko)84.0.57638.70 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;Y6271H) AppleWebKit/537.36 (KHTML, like Gecko)100.0.64444.62 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;L9593G) AppleWebKit/537.36 (KHTML, like Gecko)93.0.38079.48 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;X9852G) AppleWebKit/537.36 (KHTML, like Gecko)87.0.34866.137 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;E6790Z) AppleWebKit/537.36 (KHTML, like Gecko)95.0.46306.40 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;B915X) AppleWebKit/537.36 (KHTML, like Gecko)87.0.67471.146 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;J2654J) AppleWebKit/537.36 (KHTML, like Gecko)89.0.46147.117 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;E2321X) AppleWebKit/537.36 (KHTML, like Gecko)101.0.12899.47 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;I1077C) AppleWebKit/537.36 (KHTML, like Gecko)101.0.51244.42 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;M6115R) AppleWebKit/537.36 (KHTML, like Gecko)98.0.55225.49 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;K1405N) AppleWebKit/537.36 (KHTML, like Gecko)84.0.29651.149 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 9; Linux; Android 13;Q1886S) AppleWebKit/537.36 (KHTML, like Gecko)96.0.47680.123 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;A9132B) AppleWebKit/537.36 (KHTML, like Gecko)91.0.52452.87 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;N334A) AppleWebKit/537.36 (KHTML, like Gecko)97.0.56855.148 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;Z2753C) AppleWebKit/537.36 (KHTML, like Gecko)91.0.45173.50 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;D3635E) AppleWebKit/537.36 (KHTML, like Gecko)100.0.33998.139 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;O5877X) AppleWebKit/537.36 (KHTML, like Gecko)91.0.10721.83 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;J9920P) AppleWebKit/537.36 (KHTML, like Gecko)92.0.10456.113 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;Z9652B) AppleWebKit/537.36 (KHTML, like Gecko)92.0.37088.143 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 9; Linux; Android 13;L8132U) AppleWebKit/537.36 (KHTML, like Gecko)94.0.45980.106 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;M6906F) AppleWebKit/537.36 (KHTML, like Gecko)88.0.57515.142 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;S8290W) AppleWebKit/537.36 (KHTML, like Gecko)94.0.53831.52 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;R910J) AppleWebKit/537.36 (KHTML, like Gecko)85.0.39924.52 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;U2398K) AppleWebKit/537.36 (KHTML, like Gecko)101.0.34314.84 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;I715L) AppleWebKit/537.36 (KHTML, like Gecko)82.0.36591.46 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;Z771O) AppleWebKit/537.36 (KHTML, like Gecko)86.0.43479.99 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;P3296F) AppleWebKit/537.36 (KHTML, like Gecko)91.0.24946.54 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;V4309W) AppleWebKit/537.36 (KHTML, like Gecko)96.0.32536.82 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;Y7870J) AppleWebKit/537.36 (KHTML, like Gecko)82.0.18034.56 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;C8786O) AppleWebKit/537.36 (KHTML, like Gecko)99.0.44000.95 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;D5100Y) AppleWebKit/537.36 (KHTML, like Gecko)93.0.34366.101 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;S8825U) AppleWebKit/537.36 (KHTML, like Gecko)80.0.12712.59 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;Q6193Z) AppleWebKit/537.36 (KHTML, like Gecko)86.0.15115.86 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;X1859V) AppleWebKit/537.36 (KHTML, like Gecko)102.0.38593.57 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;E3533T) AppleWebKit/537.36 (KHTML, like Gecko)90.0.63885.104 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;G1485B) AppleWebKit/537.36 (KHTML, like Gecko)98.0.66873.133 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;N9217D) AppleWebKit/537.36 (KHTML, like Gecko)99.0.47789.57 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;N182Y) AppleWebKit/537.36 (KHTML, like Gecko)98.0.29874.89 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;R6732H) AppleWebKit/537.36 (KHTML, like Gecko)95.0.50050.147 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;Q8739A) AppleWebKit/537.36 (KHTML, like Gecko)85.0.45779.99 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;P619T) AppleWebKit/537.36 (KHTML, like Gecko)81.0.66961.120 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;M6178Z) AppleWebKit/537.36 (KHTML, like Gecko)95.0.14339.117 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;G531R) AppleWebKit/537.36 (KHTML, like Gecko)84.0.54286.51 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;L8377K) AppleWebKit/537.36 (KHTML, like Gecko)90.0.23222.114 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;B2431W) AppleWebKit/537.36 (KHTML, like Gecko)101.0.54364.81 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;V6200U) AppleWebKit/537.36 (KHTML, like Gecko)90.0.19938.89 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;N9440J) AppleWebKit/537.36 (KHTML, like Gecko)101.0.66415.99 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;A695L) AppleWebKit/537.36 (KHTML, like Gecko)97.0.36457.62 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 9; Linux; Android 13;N7463V) AppleWebKit/537.36 (KHTML, like Gecko)81.0.46173.139 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;O9113U) AppleWebKit/537.36 (KHTML, like Gecko)81.0.24868.75 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;C236N) AppleWebKit/537.36 (KHTML, like Gecko)98.0.7006.139 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;Y4897W) AppleWebKit/537.36 (KHTML, like Gecko)93.0.40126.76 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;T778U) AppleWebKit/537.36 (KHTML, like Gecko)95.0.57592.44 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;I2216Q) AppleWebKit/537.36 (KHTML, like Gecko)94.0.65137.55 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;H4863N) AppleWebKit/537.36 (KHTML, like Gecko)85.0.63769.81 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;N1667N) AppleWebKit/537.36 (KHTML, like Gecko)84.0.48992.67 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;Y814S) AppleWebKit/537.36 (KHTML, like Gecko)100.0.30694.40 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;S9662D) AppleWebKit/537.36 (KHTML, like Gecko)86.0.50009.135 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;Q1098K) AppleWebKit/537.36 (KHTML, like Gecko)85.0.66483.58 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;L4084I) AppleWebKit/537.36 (KHTML, like Gecko)86.0.37593.88 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;Q8389V) AppleWebKit/537.36 (KHTML, like Gecko)92.0.21105.109 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;H8729A) AppleWebKit/537.36 (KHTML, like Gecko)87.0.58589.74 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;V5999H) AppleWebKit/537.36 (KHTML, like Gecko)87.0.57797.134 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;T8595C) AppleWebKit/537.36 (KHTML, like Gecko)87.0.45351.102 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;B7400S) AppleWebKit/537.36 (KHTML, like Gecko)80.0.24573.145 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;I4828M) AppleWebKit/537.36 (KHTML, like Gecko)85.0.41825.60 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;A8279T) AppleWebKit/537.36 (KHTML, like Gecko)102.0.42460.79 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;H6763K) AppleWebKit/537.36 (KHTML, like Gecko)101.0.26910.42 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;I5873I) AppleWebKit/537.36 (KHTML, like Gecko)89.0.53484.135 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;I2558P) AppleWebKit/537.36 (KHTML, like Gecko)82.0.29715.102 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;Y9062H) AppleWebKit/537.36 (KHTML, like Gecko)85.0.41937.65 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;P945I) AppleWebKit/537.36 (KHTML, like Gecko)80.0.45421.111 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;P5957W) AppleWebKit/537.36 (KHTML, like Gecko)98.0.36053.106 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;F2739X) AppleWebKit/537.36 (KHTML, like Gecko)97.0.36702.99 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;R248V) AppleWebKit/537.36 (KHTML, like Gecko)81.0.22771.149 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;R4495O) AppleWebKit/537.36 (KHTML, like Gecko)95.0.46304.139 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;C3592J) AppleWebKit/537.36 (KHTML, like Gecko)99.0.62906.50 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;H7716L) AppleWebKit/537.36 (KHTML, like Gecko)96.0.31048.61 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;K1863L) AppleWebKit/537.36 (KHTML, like Gecko)83.0.59757.53 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;A6680E) AppleWebKit/537.36 (KHTML, like Gecko)84.0.44497.96 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;U3868B) AppleWebKit/537.36 (KHTML, like Gecko)90.0.43696.71 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;C5040V) AppleWebKit/537.36 (KHTML, like Gecko)97.0.25080.47 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;S940V) AppleWebKit/537.36 (KHTML, like Gecko)99.0.16513.100 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;M9860O) AppleWebKit/537.36 (KHTML, like Gecko)85.0.52265.106 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;E374A) AppleWebKit/537.36 (KHTML, like Gecko)82.0.63147.107 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;Z1117Y) AppleWebKit/537.36 (KHTML, like Gecko)88.0.34929.79 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


